virus_name	Accession_ID	Date	Originating_lab	Submitting_lab	Location
hCoV-19/England/QEUH-9FAD45/2020	EPI_ISL_588070	2020-09-28	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/CA-ALSR-1053-SAN/2020	EPI_ISL_483485	2020-06-21	Andersen lab at Scripps Research	Gangavarapu	USA
hCoV-19/Scotland/CVR136/2020	EPI_ISL_425679	2020-03-16	COVID-19 Genomics UK (COG-UK) Consortium	Robertson	United Kingdom
hCoV-19/Wales/PHWC-1693FC/2020	EPI_ISL_499440	2020-04-02	COVID-19 Genomics UK (COG-UK) Consortium	Moore	United Kingdom
hCoV-19/Australia/VIC9585/2020	EPI_ISL_565614	2020-08-23	MDU-PHL	Schultz	Australia
hCoV-19/USA/TX-HMH-6366/2020	EPI_ISL_547421	2020-07-07	Houston Methodist Hospital	Long	USA
hCoV-19/USA/CA-CZB-1594/2020	EPI_ISL_468524	2020-03-28	Chan-Zuckerberg Biohub	Hao	USA
hCoV-19/England/ALDP-521D49/2020	EPI_ISL_559025	2020-06-02	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/WA-S1197/2020	EPI_ISL_463687	2020-05-06	Seattle Flu Study	Bedford	USA
hCoV-19/Australia/NSW219/2020	EPI_ISL_427643	2020-02-28	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Gall	Australia
hCoV-19/Latvia/125/2020	EPI_ISL_534214	2020-08-25	Latvian Biomedical Research and Study Centre	Zrelovs	Latvia
hCoV-19/USA/TX-HMH-501/2020	EPI_ISL_544456	2020-04-01	Houston Methodist Hospital	Long	USA
hCoV-19/Australia/VIC14290/2020	EPI_ISL_592437	2020-08-02	MDU-PHL	Schultz	Australia
hCoV-19/USA/MI-MDHHS-SC20138/2020	EPI_ISL_436853	2020-03-24	Michigan Department of Health and Human Services	Blankenship	USA
hCoV-19/England/20134023004/2020	EPI_ISL_423121	2020-03-24	Respiratory Virus Unit	Platt	United Kingdom
hCoV-19/Australia/VIC67/2020	EPI_ISL_419781	2020-03-13	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory	Schultz	Australia
hCoV-19/England/CAMC-991162/2020	EPI_ISL_551907	2020-08-27	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/WA-UW-12548/2020	EPI_ISL_570546	2020-06-26	UW Virology Lab	Roychoudhury	USA
hCoV-19/USA/WA-UW-12516/2020	EPI_ISL_570540	2020-06-28	UW Virology Lab	Roychoudhury	USA
hCoV-19/USA/OR-OHSU-0616/2020	EPI_ISL_525848	2020-06-13	Ginkgo Bioworks Clinical Laboratory	O'Roak	USA
hCoV-19/England/20140006904/2020	EPI_ISL_465875	2020-03-29	Respiratory Virus Unit	Platt	United Kingdom
hCoV-19/USA/WY-WYPHL-20007938/2020	EPI_ISL_493001	2020-04-06	Wyoming Public Health Laboratory	Sevinsky	USA
hCoV-19/Scotland/CVR195/2020	EPI_ISL_425727	2020-03-18	COVID-19 Genomics UK (COG-UK) Consortium	Robertson	United Kingdom
hCoV-19/USA/FL-BPHL-0703/2020	EPI_ISL_509761	2020-03-28	Florida Bureau of Public Health Laboratories	Blanton	USA
hCoV-19/USA/CA-ALSR-1647/2020	EPI_ISL_494712	2020-04-27	Andersen lab at Scripps Research	Gangavarapu	USA
hCoV-19/England/CAMC-9E001C/2020	EPI_ISL_576952	2020-09-21	COVID-19 Genomics UK (COG-UK) Consortium	Golubchik	United Kingdom
hCoV-19/USA/PA-MGSC23-05/2020	EPI_ISL_436476	2020-03-23	Microbial Genome Sequencing Center	Cooper	USA
hCoV-19/England/ALDP-4A2BFC/2020	EPI_ISL_559412	2020-05-22	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Scotland/CVR3084/2020	EPI_ISL_461667	2020-04-24	COVID-19 Genomics UK (COG-UK) Consortium	Robertson	United Kingdom
hCoV-19/Wales/PHWC-16D49B/2020	EPI_ISL_574241	2020-09-25	COVID-19 Genomics UK (COG-UK) Consortium	Moore	United Kingdom
hCoV-19/Scotland/EDB132/2020	EPI_ISL_425911	2020-03-23	COVID-19 Genomics UK (COG-UK) Consortium	Williams	United Kingdom
hCoV-19/USA/MI-MDHHS-SC20775/2020	EPI_ISL_471796	2020-04-16	Michigan Department of Health and Human Services	Blankenship	USA
hCoV-19/Sweden/20-08992/2020	EPI_ISL_582774	2020-09-16	The Public Health Agency of Sweden	Svartstr\u00f6m	Sweden
hCoV-19/England/QEUH-9D1139/2020	EPI_ISL_589917	2020-09-16	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/LA-QDX-1206/2020	EPI_ISL_571947	2020-03-16	Quest Diagnostics	Kagan	USA
hCoV-19/Norway/3844/2020	EPI_ISL_591009	2020-09-28	Norwegian Institute of Public Health	Vollan	Norway
hCoV-19/England/EXET-135775/2020	EPI_ISL_457096	2020-04-05	COVID-19 Genomics UK (COG-UK) Consortium	Temperton	United Kingdom
hCoV-19/England/QEUH-9C99A5/2020	EPI_ISL_567477	2020-09-10	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Portugal/PT0371/2020	EPI_ISL_454087	2020-03-19	Instituto Nacional de Saude (INSA)	Borges	Portugal
hCoV-19/Norway/3001/2020	EPI_ISL_549065	2020-08-01	Norwegian Institute of Public Health	Kopperud Riis	Norway
hCoV-19/Scotland/CVR2080/2020	EPI_ISL_484555	2020-04-10	COVID-19 Genomics UK (COG-UK) Consortium	Robertson	United Kingdom
hCoV-19/England/LEED-2A932C/2020	EPI_ISL_539175	2020-04-07	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/NY-QDX-881/2020	EPI_ISL_571682	2020-03-16	Quest Diagnostics	Kagan	USA
hCoV-19/England/QEUH-96BFC1/2020	EPI_ISL_531446	2020-08-14	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/VIC9764/2020	EPI_ISL_565700	2020-07-17	MDU-PHL	Schultz	Australia
hCoV-19/England/ALDP-A2E837/2020	EPI_ISL_586693	2020-10-05	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/QEUH-96B565/2020	EPI_ISL_531437	2020-08-17	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Russia/OMS-ORINFI-3951S/2020	EPI_ISL_569850	2020-07-08	WHO National Influenza Centre Russian Federation	Komissarov	Russia
hCoV-19/England/ALDP-955786/2020	EPI_ISL_554542	2020-06-12	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/WA-S1151/2020	EPI_ISL_463641	2020-05-04	Seattle Flu Study	Bedford	USA
hCoV-19/Netherlands/Utrecht_34/2020	EPI_ISL_461232	2020-04-27	Erasmus Medical Center	Oude Munnink	Netherlands
hCoV-19/England/201080013/2020	EPI_ISL_464425	2020-03-04	Respiratory Virus Unit	Platt	United Kingdom
hCoV-19/Canada/BC_21462515/2020	EPI_ISL_462815	2020-03-00	BCCDC Public Health Laboratory	Harrigan	Canada
hCoV-19/England/ALDP-9ECE07/2020	EPI_ISL_589536	2020-05-05	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Belgium/ULG-10080/2020	EPI_ISL_424641	2020-04-03	GIGA Medical Genomics	Durkin	Belgium
hCoV-19/USA/WA-S1012/2020	EPI_ISL_463502	2020-04-29	Seattle Flu Study	Bedford	USA
hCoV-19/England/ALDP-4F4F0E/2020	EPI_ISL_559197	2020-06-24	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/WA-S1011/2020	EPI_ISL_463501	2020-04-29	Seattle Flu Study	Bedford	USA
hCoV-19/England/LOND-D4603/2020	EPI_ISL_444141	2020-04-08	COVID-19 Genomics UK (COG-UK) Consortium	Roy	United Kingdom
hCoV-19/England/ALDP-950D3E/2020	EPI_ISL_554570	2020-06-14	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/India/TG-CCMB-L1487/2020	EPI_ISL_471608	2020-05-25	CSIR-Centre for Cellular and Molecular Biology	Banu	India
hCoV-19/France/ARA-14456/2020	EPI_ISL_508888	2020-03-26	CNR Virus des Infections Respiratoires - France SUD	Josset	France
hCoV-19/USA/CA-CZB-10791/2020	EPI_ISL_583051	2020-06-22	Chan-Zuckerberg Biohub	Bhatt	USA
hCoV-19/Canada/ON-PHL-20-01318/2020	EPI_ISL_548921	2020-06-00	Public Health Ontario Laboratory	Guthrie	Canada
hCoV-19/England/MILK-975AC3/2020	EPI_ISL_552551	2020-08-21	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/VIC823/2020	EPI_ISL_427094	2020-04-03	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory	Schultz	Australia
hCoV-19/USA/WA-UW-1341/2020	EPI_ISL_424179	2020-03-17	UW Virology Lab	Roychoudhury	USA
hCoV-19/England/201380036/2020	EPI_ISL_421800	2020-03-26	Respiratory Virus Unit	Platt	United Kingdom
hCoV-19/Switzerland/BS-42395273/2020	EPI_ISL_581956	2020-08-14	University Hospital Basel	Roloff Handschin	Switzerland
hCoV-19/USA/OR-OHSU-1583/2020	EPI_ISL_525983	2020-07-20	Oregon SARS-CoV-2 Genome Sequencing Center	O'Roak	USA
hCoV-19/France/ARA-1307/2020	EPI_ISL_420621	2020-03-24	CNR Virus des Infections Respiratoires - France SUD	Josset	France
hCoV-19/Australia/VIC12848/2020	EPI_ISL_592090	2020-07-27	MDU-PHL	Schultz	Australia
hCoV-19/Australia/NSW755/2020	EPI_ISL_513397	2020-07-20	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Gall	Australia
hCoV-19/Spain/VC-FISABIO-166/2020	EPI_ISL_436261	2020-03-19	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	Gonzalez-Candelas	Spain
hCoV-19/USA/CA-QDX-572/2020	EPI_ISL_571280	2020-03-19	Quest Diagnostics	Kagan	USA
hCoV-19/USA/WA-S2172/2020	EPI_ISL_497600	2020-06-08	Seattle Flu Study	Lee	USA
hCoV-19/England/ALDP-951C9A/2020	EPI_ISL_551352	2020-06-10	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Sweden/20-08356/2020	EPI_ISL_476140	2020-03-24	The Public Health Agency of Sweden	Svartstr\u00f6m	Sweden
hCoV-19/Ecuador/USFQ-1112/2020	EPI_ISL_486847	2020-06-30	Institute of Microbiology	Cardenas	Ecuador
hCoV-19/Scotland/EDB5425/2020	EPI_ISL_487960	2020-04-07	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Bangladesh/BCSIR-NILMRC-076/2020	EPI_ISL_466644	2020-06-01	Genomic Research Lab	Khan	Bangladesh
hCoV-19/England/QEUH-9D17A0/2020	EPI_ISL_573659	2020-09-14	COVID-19 Genomics UK (COG-UK) Consortium	Roy	United Kingdom
hCoV-19/USA/TX-HMH-956/2020	EPI_ISL_545930	2020-04-14	Houston Methodist Hospital	Long	USA
hCoV-19/England/SHEF-CC5B6/2020	EPI_ISL_559932	2020-09-06	COVID-19 Genomics UK (COG-UK) Consortium	de Silva	United Kingdom
hCoV-19/Australia/VIC15503/2020	EPI_ISL_593338	2020-08-03	MDU-PHL	Schultz	Australia
hCoV-19/Australia/NSW723/2020	EPI_ISL_513366	2020-07-24	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Gall	Australia
hCoV-19/Australia/WA70/2020	EPI_ISL_512723	2020-07-03	PathWest Laboratory Medicine WA Microbial Surveillance Unit	Sikazwe	Australia
hCoV-19/Belgium/MTR-03026/2020	EPI_ISL_416476	2020-03-02	KU Leuven	Maes	Belgium
hCoV-19/England/ALDP-A2D5C8/2020	EPI_ISL_586837	2020-10-05	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/ALDP-9E66AB/2020	EPI_ISL_580583	2020-09-23	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Wales/ALDP-9C5138/2020	EPI_ISL_567792	2020-09-10	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/TX-HMH-3561/2020	EPI_ISL_543023	2020-06-10	Houston Methodist Hospital	Long	USA
hCoV-19/England/CAMC-94B307/2020	EPI_ISL_556660	2020-07-18	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/NY-QDX-24/2020	EPI_ISL_467898	2020-03-15	Quest Diagnostics	Kagan	USA
hCoV-19/England/CAMB-1B5DD5/2020	EPI_ISL_549392	2020-09-05	COVID-19 Genomics UK (COG-UK) Consortium	Goodfellow	United Kingdom
hCoV-19/England/QEUH-943A19/2020	EPI_ISL_532570	2020-07-28	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Canada/QC_AY1/2020	EPI_ISL_463954	2020-04-12	Smith Laboratory	Smith	Canada
hCoV-19/Wales/PHWC-15C268/2020	EPI_ISL_472459	2020-04-21	COVID-19 Genomics UK (COG-UK) Consortium	Moore	United Kingdom
hCoV-19/England/CAMB-1B4FC1/2020	EPI_ISL_477808	2020-06-18	COVID-19 Genomics UK (COG-UK) Consortium	Meredith	United Kingdom
hCoV-19/India/MH-AFMC-5897/2020	EPI_ISL_497880	2020-05-26	National Centre For Cell Science	Paul	India
hCoV-19/Australia/NSW736/2020	EPI_ISL_513379	2020-07-29	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Gall	Australia
hCoV-19/USA/NM-DOH-2020314850/2020	EPI_ISL_574280	2020-08-25	New Mexico Department of Health Scientific Laboratory	Johnson	USA
hCoV-19/England/ALDP-9BCC8E/2020	EPI_ISL_573067	2020-09-09	COVID-19 Genomics UK (COG-UK) Consortium	Golubchik	United Kingdom
hCoV-19/Scotland/EDB807/2020	EPI_ISL_433249	2020-04-03	COVID-19 Genomics UK (COG-UK) Consortium	Williams	United Kingdom
hCoV-19/Weifang/WF0002/2020	EPI_ISL_413692	2020-01-00	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Li	China
hCoV-19/France/ARA-0592/2020	EPI_ISL_508935	2020-03-02	CNR Virus des Infections Respiratoires - France SUD	Josset	France
hCoV-19/England/ALDP-9CAD11/2020	EPI_ISL_575722	2020-09-16	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Bangladesh/DNAS-CPH-467/2020	EPI_ISL_445213	2020-04-28	DNA Solution Ltd	Rabbi	Bangladesh
hCoV-19/USA/LA-EVTL449/2020	EPI_ISL_578853	2020-06-20	Microbial Genome Sequencing Center	Kamil	USA
hCoV-19/England/QEUH-95FFC0/2020	EPI_ISL_531923	2020-08-07	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/ALDP-944553/2020	EPI_ISL_554623	2020-06-07	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/QEUH-9DECFF/2020	EPI_ISL_584824	2020-09-21	COVID-19 Genomics UK (COG-UK) Consortium	Roy	United Kingdom
hCoV-19/USA/WA-UW-4611/2020	EPI_ISL_429613	2020-03-26	UW Virology Lab	Roychoudhury	USA
hCoV-19/England/CAMB-7B10D/2020	EPI_ISL_433919	2020-04-11	COVID-19 Genomics UK (COG-UK) Consortium	Meredith	United Kingdom
hCoV-19/England/ALDP-93153B/2020	EPI_ISL_552984	2020-06-21	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/VIC2373/2020	EPI_ISL_522093	2020-06-28	VIDRL and MDU-PHL	Schultz	Australia
hCoV-19/Scotland/EDB6066/2020	EPI_ISL_478203	2020-05-09	COVID-19 Genomics UK (COG-UK) Consortium	Williams	United Kingdom
hCoV-19/Japan/PG-0201/2020	EPI_ISL_479904	2020-03-13	Pathogen Genomics Center	Sekizuka	Japan
hCoV-19/USA/MI-MDHHS-SC20822/2020	EPI_ISL_471843	2020-05-12	Michigan Department of Health and Human Services	Blankenship	USA
hCoV-19/Scotland/CVR4487/2020	EPI_ISL_585351	2020-09-20	COVID-19 Genomics UK (COG-UK) Consortium	Robertson	United Kingdom
hCoV-19/England/CAMB-79AC8/2020	EPI_ISL_433820	2020-03-26	COVID-19 Genomics UK (COG-UK) Consortium	Meredith	United Kingdom
hCoV-19/USA/FL-BPHL-0220/2020	EPI_ISL_480871	2020-04-19	Florida Bureau of Public Health Laboratories	Blanton	USA
hCoV-19/Scotland/EDB3237/2020	EPI_ISL_489024	2020-04-07	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Scotland/EDB4170/2020	EPI_ISL_449277	2020-04-18	COVID-19 Genomics UK (COG-UK) Consortium	Williams	United Kingdom
hCoV-19/England/CAMB-7BDFA/2020	EPI_ISL_442163	2020-04-04	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Amato	United Kingdom
hCoV-19/USA/VA-DCLS-0169/2020	EPI_ISL_437802	2020-04-13	Virginia DCLS	St. Jacques	USA
hCoV-19/England/20140002204/2020	EPI_ISL_423371	2020-03-29	Respiratory Virus Unit	Platt	United Kingdom
hCoV-19/Ireland/SO-NVRL-70IRL90620/2020	EPI_ISL_500573	2020-07-02	National Virus Reference Laboratory	Gonzalez	Ireland
hCoV-19/USA/MI-QDX-727/2020	EPI_ISL_571460	2020-03-21	Quest Diagnostics	Kagan	USA
hCoV-19/Australia/VIC7861/2020	EPI_ISL_564711	2020-07-27	MDU-PHL	Schultz	Australia
hCoV-19/England/ALDP-9563CD/2020	EPI_ISL_554105	2020-06-08	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/WA-UW-5397/2020	EPI_ISL_430905	2020-04-05	UW Virology Lab	Roychoudhury	USA
hCoV-19/USA/WA-UW-22216/2020	EPI_ISL_570588	2020-08-03	UW Virology Lab	Roychoudhury	USA
hCoV-19/Australia/VIC5207/2020	EPI_ISL_519972	2020-07-18	MDU-PHL	Schultz	Australia
hCoV-19/India/TN-CCMB-C13/2020	EPI_ISL_458035	2020-04-29	CSIR-Centre for Cellular and Molecular Biology	Banu	India
hCoV-19/Australia/VIC4584/2020	EPI_ISL_518985	2020-07-12	VIDRL and MDU-PHL	Schultz	Australia
hCoV-19/Wales/MILK-9C3DBE/2020	EPI_ISL_566997	2020-09-09	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/LEED-2AA798/2020	EPI_ISL_538944	2020-03-30	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/UT-UPHL-2008956/2020	EPI_ISL_525283	2020-05-11	Utah Public Health Laboratory	Young	USA
hCoV-19/Denmark/ALAB-SSI121/2020	EPI_ISL_429350	2020-03-08	Albertsen lab	Kirkegaard	Denmark
hCoV-19/Belgium/KA-03042/2020	EPI_ISL_417424	2020-03-04	KU Leuven	Maes	Belgium
hCoV-19/England/MILK-970415/2020	EPI_ISL_553230	2020-08-18	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/TX-HMH-6007/2020	EPI_ISL_547162	2020-06-26	Houston Methodist Hospital	Long	USA
hCoV-19/England/QEUH-9DEF23/2020	EPI_ISL_581310	2020-09-21	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/SHEF-CC4AA/2020	EPI_ISL_453746	2020-04-23	COVID-19 Genomics UK (COG-UK) Consortium	de Silva	United Kingdom
hCoV-19/Iceland/93/2020	EPI_ISL_417730	2020-03-10	deCODE genetics	J\u00f3nsson	Iceland
hCoV-19/USA/WA-S2349/2020	EPI_ISL_496981	2020-06-13	Seattle Flu Study	Lee	USA
hCoV-19/England/ALDP-97F5B9/2020	EPI_ISL_529533	2020-08-04	COVID-19 Genomics UK (COG-UK) Consortium	Loose	United Kingdom
hCoV-19/Switzerland/BS-42188723/2020	EPI_ISL_581718	2020-03-14	University Hospital Basel	Roloff Handschin	Switzerland
hCoV-19/Australia/VIC13432/2020	EPI_ISL_563730	2020-08-06	MDU-PHL	Schultz	Australia
hCoV-19/Scotland/EDB1431/2020	EPI_ISL_433444	2020-04-12	COVID-19 Genomics UK (COG-UK) Consortium	Williams	United Kingdom
hCoV-19/Australia/VIC2371/2020	EPI_ISL_522091	2020-06-25	VIDRL and MDU-PHL	Schultz	Australia
hCoV-19/Netherlands/un-EMC-736/2020	EPI_ISL_523491	2020-06-07	Erasmus Medical Center	Oude Munnink	Netherlands
hCoV-19/Japan/PG-0440/2020	EPI_ISL_480105	2020-03-13	Pathogen Genomics Center	Sekizuka	Japan
hCoV-19/France/IDF-10033ZM/2020	EPI_ISL_447674	2020-03-00	H\u00f4pital Henri-Mondor Ap-Hp	Rodriguez	France
hCoV-19/Australia/VIC9225/2020	EPI_ISL_565453	2020-08-20	MDU-PHL	Schultz	Australia
hCoV-19/Canada/ON-OICR-SLB2841/2020	EPI_ISL_538362	2020-04-03	Ontario Institute for Cancer Research	de Borja	Canada
hCoV-19/Japan/PG-0398/2020	EPI_ISL_480067	2020-03-31	Pathogen Genomics Center	Sekizuka	Japan
hCoV-19/USA/NY-NYUMC45/2020	EPI_ISL_420296	2020-03-18	Departments of Pathology and Medicine	Maurano	USA
hCoV-19/Australia/VIC12923/2020	EPI_ISL_563608	2020-07-28	MDU-PHL	Schultz	Australia
hCoV-19/Denmark/ALAB-SSI-1257/2020	EPI_ISL_444831	2020-03-11	Albertsen lab	Kirkegaard	Denmark
hCoV-19/England/ALDP-9E9D67/2020	EPI_ISL_580035	2020-09-24	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/VIC11167/2020	EPI_ISL_562611	2020-08-04	MDU-PHL	Schultz	Australia
hCoV-19/England/20098017504/2020	EPI_ISL_464194	2020-02-27	Respiratory Virus Unit	Platt	United Kingdom
hCoV-19/England/QEUH-95EE3D/2020	EPI_ISL_532516	2020-08-06	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/MI-QDX-931/2020	EPI_ISL_571635	2020-03-22	Quest Diagnostics	Kagan	USA
hCoV-19/Portugal/PT0071/2020	EPI_ISL_421474	2020-03-21	Instituto Nacional de Saude (INSA)	Borges	Portugal
hCoV-19/USA/FL-BPHL-1256/2020	EPI_ISL_541156	2020-04-22	Florida Bureau of Public Health Laboratories	Blanton	USA
hCoV-19/Australia/VIC2894/2020	EPI_ISL_521725	2020-07-05	MDU-PHL	Schultz	Australia
hCoV-19/England/CAMB-1AD277/2020	EPI_ISL_447984	2020-00-00	COVID-19 Genomics UK (COG-UK) Consortium	Meredith	United Kingdom
hCoV-19/Switzerland/ZH-ETHZ-140069/2020	EPI_ISL_476117	2020-04-29	Department of Biosystems Science and Engineering	Nadeau	Switzerland
hCoV-19/England/NOTT-113212/2020	EPI_ISL_540711	2020-09-13	COVID-19 Genomics UK (COG-UK) Consortium	Loose	United Kingdom
hCoV-19/Belgium/ULG-6743/2020	EPI_ISL_418627	2020-03-14	GIGA Medical Genomics	Durkin	Belgium
hCoV-19/England/MILK-970697/2020	EPI_ISL_553124	2020-08-17	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/MN-MDH-1429/2020	EPI_ISL_514648	2020-03-26	Minnesota Department of Health	Garfin	USA
hCoV-19/England/QEUH-96A706/2020	EPI_ISL_531555	2020-08-12	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/MILK-9E31E9/2020	EPI_ISL_581280	2020-09-21	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/MILK-99E262/2020	EPI_ISL_568364	2020-08-29	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Canada/QC-LSPQ-L00217559/2020	EPI_ISL_535764	2020-03-12	Laboratoire de sant\u00e9 publique du Qu\u00e9bec	Moreira	Canada
hCoV-19/SaudiArabia/KAUST-JEDDAH929/2020	EPI_ISL_513057	2020-04-06	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Mohamed Ghazzali	Saudi Arabia
hCoV-19/Australia/VIC2508/2020	EPI_ISL_522203	2020-06-29	MDU-PHL	Schultz	Australia
hCoV-19/Netherlands/UT-RIVM-10155/2020	EPI_ISL_547542	2020-00-00	National Institute for Public Health and the Environment (RIVM)	Meijer	Netherlands
hCoV-19/USA/MI-UM-2006S000915/2020	EPI_ISL_484753	2020-03-24	Lauring Lab	Valesano	USA
hCoV-19/England/MILK-9707C1/2020	EPI_ISL_553266	2020-08-17	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/ALDP-9B60F1/2020	EPI_ISL_572859	2020-08-28	COVID-19 Genomics UK (COG-UK) Consortium	Golubchik	United Kingdom
hCoV-19/DRC/241/2020	EPI_ISL_420033	2020-03-22	Pathogen Sequencing Lab	Pratt	Democratic Republic of the Congo
hCoV-19/USA/TX-HMH-1199/2020	EPI_ISL_542582	2020-04-01	Houston Methodist Hospital	Long	USA
hCoV-19/England/ALDP-9FD44D/2020	EPI_ISL_587832	2020-10-02	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Israel/130710157/2020	EPI_ISL_447465	2020-04-15	Stern Lab	Miller	Israel
hCoV-19/USA/VA-DCLS-0606/2020	EPI_ISL_526823	2020-03-28	Virginia DCLS	St. Jacques	USA
hCoV-19/Australia/VIC5240/2020	EPI_ISL_520005	2020-07-17	MDU-PHL	Schultz	Australia
hCoV-19/England/ALDP-9C5E7D/2020	EPI_ISL_567742	2020-09-10	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Malaysia/IMR-WC9185/2020	EPI_ISL_489994	2020-03-30	Institute for Medical Research	Suppiah	Malaysia
hCoV-19/Iceland/576/2020	EPI_ISL_424596	2020-03-28	deCODE genetics	J\u00f3nsson	Iceland
hCoV-19/Scotland/QEUH-96E6AB/2020	EPI_ISL_534483	2020-08-19	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
